Razao Social,Fundo,Codigo
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER,FII D PEDRO,PQDP
FDO INV IMOB - FII PATEO BANDEIRANTES,FII PTO BAND,PATB
FDO INV IMOB - FII RBR DESENVOLVIMENTO,FII RBR DES,RBRM
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE,FII RBRHGRAD,RBRR
FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,FII REC RECE,RECR
FDO INV IMOB - FII REC RENDA IMOBILIARIA,FII REC REND,RECT
FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO,FII SHOP PDP,SHDP
FDO INV IMOB - FII SIA CORPORATE,FII SIA CORP,SAIC
FDO INV IMOB - FII TORRE ALMIRANTE,FII TORRE AL,ALMI
FDO INV IMOB - FII TORRE NORTE,FII TORRE NO,TRNT
FDO INV IMOB - OURINVEST FUNDO DE FUNDOS,FII OURI FOF,OUFF
FDO INV IMOB - OURINVEST RE I,FII WTC SP,WTSP
FDO INV IMOB - VBI LOGISTICO,FII VBI LOG,LVBI
FDO INV IMOB BR HOTEIS - FII,FII BRHOTEIS,BRHT
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS,FII ABSOLUTO,BPFF
FDO INV IMOB BRASIL VAREJO - FII,FII B VAREJO,BVAR
FDO INV IMOB BTG PACTUAL SHOPPINGS,FII BTG SHOP,BPML
FDO INV IMOB BTG PACTUAL TERRAS AGRICOLAS,FII BTG TAGR,BTRA
FDO INV IMOB CAIXA CARTEIRA IMOBILIARIA,FII CAIXA CI,CXCI
FDO INV IMOB CAIXA CEDAE,FII CX CEDAE,CXCE
FDO INV IMOB CAIXA SEQ LOGISTICA RENDA,FII CX TRX,CXTL
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL,FII C TEXTIL,CTXT
FDO INV IMOB CJ - FII,FII CJ,CJFI
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA,FII S F LIMA,FLMA
FDO INV IMOB EDIFICIO OURINVEST,FII OURINVES,EDFO
FDO INV IMOB EUROPAR,FII EUROPAR,EURO
FDO INV IMOB GRAND PLAZA SHOPPING,FII ABC IMOB,ABCP
FDO INV IMOB GREEN TOWERS,FII G TOWERS,GTWR
FDO INV IMOB HOSPITAL UNIMED CAMPINA GRANDE,FII UNIMED C,HUCG
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA,FII H UNIMED,HUSC
FDO INV IMOB INDUSTRIAL DO BRASIL,FII INDL BR,FIIB
FDO INV IMOB INFRA REAL ESTATE - FII,FII INFRA RE,FINF
FDO INV IMOB MEMORIAL OFFICE,FII MEMORIAL,FMOF
FDO INV IMOB OURINVEST LOGISTICA,FII OURILOG,OULG
FDO INV IMOB PANAMBY,FII PANAMBY,PABY
FDO INV IMOB PEDRA NEGRA RENDA IMOB,FII P NEGRA,FPNG
FDO INV IMOB POLO ESTOQUE II - FII,FII POLO II,ESTQ
FDO INV IMOB POLO SHOPPING INDAIATUBA,FII POLO SHO,VPSI
FDO INV IMOB PROJETO AGUA BRANCA,FII A BRANCA,FPAB
FDO INV IMOB RBR CREDITO IMOB ESTRUTURADO,FII RBR PCRI,RBRY
FDO INV IMOB RBR PROPERTIES - FII,FII RBR PROP,RBRP
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,FII RIOB RC,RCRB
FDO INV IMOB RIO BRAVO RENDA EDUCACIONAL - FII,FII RIOB ED,RBED
FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,FII RIOB VA,RBVA
FDO INV IMOB RIO NEGRO - FII,FII RIONEGRO,RNGO
FDO INV IMOB SC 401,FII SC 401,FISC
FDO INV IMOB SCP,FII SCP,SCPF
FDO INV IMOB SHOPPING PATIO HIGIENOPOLIS,FII HIGIENOP,SHPH
FDO INV IMOB SMART REAL ESTATE - FII RESP LIMITADA,FII SMRE,SMRE
FDO INV IMOB TG ATIVO REAL,FII TG ATIVO,TGAR
FDO INV IMOB VBI RENDIMENTOS IMOB I FII,FII BARIGUI,BARI
FDO INV IMOB VEREDA - FII,FII VEREDA,VERE
FDO INV IMOB VIA PARQUE SHOPPING - FII,FII V PARQUE,FVPQ
FDO INV IMOB VIDA NOVA - FII,FII VIDANOVA,FIVN
FDO INV IMOB VOTORANTIM LOGISTICA,FII VOT LOG,VTLT
FDO INV IMOB VOTORANTIM SHOPPING,FII VOT SHOP,VSHO
FDO INV IMOBILIARIO DE UNIDADES AUTÔNOMAS,FII UNIDADES,IDFI
FDO INV. IMOB. PLURAL RECEBIVEIS,FII PLURAL R,PLCR
FDO INV. IMOB. PLUS,FII PLUS,VTPL
FDO INV. IMOB. REC LOGISTICA,FII REC LOG,RELG
FDO INV. IMOB. VBI CRI,FII VBI CRI,CVBI
FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII,FII MAUA,MCCI
FDO INVEST IMOB GRAND PLAZA MALL,FII GRPLMALL,FGPM
FDO. INV. IMOB. A - TOWN,FII A TOWN,ATWN
FDO. INV. IMOB. ATRIO REIT RECEBIVEIS IMOBILIARIOS,FII ATRIO,ARRI
FDO. INV. IMOB. BTG PACTUAL AGRO LOGISTICA,FII BTG AGRO,BTAL
FDO. INV. IMOB. CAIXA IMOVEIS CORPORATIVOS,FII CEF CORP,CXCO
FDO. INV. IMOB. HOUSI,FII HOUSI,HOSI
FDO. INV. IMOB. MOGNO HOTEIS,FII MOGNO HT,MGHT
FDO. INV. IMOB. REC FUNDO DE FUNDOS,FII REC FOF,RECX
FDO. INV. IMOB. VBI PRIME PROPERTIES,FII VBI PRI,PVBI
FDO. INVEST. IMOB. DEVANT FOF IMOBILIARIOS,FII DEVA FOF,DVFF
FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS,FII RB CFOF,RFOF
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V,FII VOTP V,VTPA
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII,FII VOTP XII,VTXI
FDO.INVEST. IMOB. MULTI RENDA URBANA,FII MULT REN,VVMR
FIGTREE RENDA EDUCACIONAL FDO INV IMOB,FII FTRE,FTRE
FII  IMOBILIARIO SPX SYN CREDITO IMOB RESP LTDA,FII SPXC,SPXC
FII BTG PACTUAL CREDITO IMOBILIARIO,FII BTG CRI,BTCI
FII HIRE RESIDENCIAL I - FDO DE INV IMOB,FII HIRE RES,HRES
FII INTERMEDIARIO NAVI TOT,INTERMED NT,N4V1
FII IRIDIUM RECEBIVEIS IMOBILIARIOS,FII IRIDIUM,IRDM
FRAM CAPITAL HELMER MULTI RENDA PREF FDO INV IMOB,FII HLMB,HLMB
FRAM CAPITAL SBCLOG FDO. INV. IMOB.,FII SBCLOG,SBCL
FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILIARIO,FII FRONT,FRHY
FUND. DE INVEST. IMOBILIARIO GUARDIAN REAL ESTATE,FII GUARDIAN,GARE
FUND. INVEST. IMOB. SUCCESPAR VAREJO,FII S VAREJO,SPVJ
FUNDO DE FDO INV IMOB KINEA FII,FII KINEAFOF,KFOF
FUNDO DE INV IMOB RBR CRED PULVERIZADO RESP LTDA,FII PULV,PULV
FUNDO DE INVEST IMOB OURINVEST RENDA ESTRUTURADA,FII OU RENDA,OURE
FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS,FII SUNO EL,SNEL
FUNDO DE INVESTIMENTO IMOBILIARIO - BLUE RECEBIVEI,FII BLUE REC,BLUR
FUNDO DE INVESTIMENTO IMOBILIARIO - DEVELOPMENT V1,FII DEV ONE,LKDV
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR DESENV,FII RBR III,RBRI
FUNDO DE INVESTIMENTO IMOBILIARIO - SPX SYN MULT,FII SPX SYN,SPXS
FUNDO DE INVESTIMENTO IMOBILIARIO APEX MALLS - FII,FII APEX MS,APXM
FUNDO DE INVESTIMENTO IMOBILIARIO BRL PROP II,FII BRLPROII,BRLA
FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG
FUNDO DE INVESTIMENTO IMOBILIARIO HBC RENDA URBANA,FII HBC REN,HBCR
FUNDO DE INVESTIMENTO IMOBILIARIO MINT EDUCACIONAL,FII MINT EDU,MINT
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,FII PATRI IV,OPTM
FUNDO DE INVESTIMENTO IMOBILIARIO RIZA TERRAX,FII RIZA TX,RZTR
FUNDO DE INVESTIMENTO IMOBILIARIO ROOFTOP I,FII ROOFTOPI,ROOF
G5 CIDADE NOVA FDO. INVEST. IMOB.,FII TOUR V,TCIN
GALAPAGOS RECEBIVEIS IMOBILIARIOS - FDO. INV. IMOB,FII GLPG CRI,GCRI
GALAPAGOS SPECIAL OPORTUNITIES FII,FII GALAP SP,GCOI
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIARIO,FII GAZIT,GZIT
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI,FII GENERAL,GSFI
"GENERAL SHOPPING ATIVO E RENDA FUNDO DE INV, IMOB.",FII GEN SHOP,FIGS
GENIAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,FII PLURAL L,GLOG
GGR COVEPI RENDA FDO INV IMOB,FII GGRCOVEP,GGRC
GRUPO RCFA FDO INV IMOB,FII GP RCFA,RCFA
HABITAT II - FDO INV IMOB,FII HABIT II,HABT
HAZ FDO INV IMOB - FII,FII HAZ,ATCR
HBC II FUNDO DE INVESTIMENTO IMOBILIARIO,FII VBI CON,EVBI
HECTARE CE - FDO INV IMOB,FII HECTARE,HCTR
HECTARE DESENV. STUDENT HOUSING - FDO. INV. IMOB.,FII HECT DES,HCST
HECTARE RECEBIVEIS HIGH GRADE FDO. INV. IMOB.,FII HECT CRI,HCHG
HEDGE AAA FDO. INV. IMOB.,FII HEDGEAAA,HAAA
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB,FII HATRIUM,ATSA
HEDGE BRASIL LOGISTICO IND FUND INV IMOB RESP LIM,FII HGBL,HGBL
HEDGE BRASIL SHOPPING FDO INV IMOB,FII HEDGEBS,HGBS
HEDGE DESENVOLVIMENTO LOGISTICO FDO INV IMOB,FII HEDGE DV,HDEL
HEDGE FLORIPA SHOPPING FUNDO INV IMOBI,FII FLORIPA,FLRP
HEDGE LOGISTICA FDO. INV. IMOB.,FII HEDGELOG,HLOG
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOB.,FII HOFFICEI,HOFC
HEDGE PALADIN DESIGN OFFICES FDO INV IMOB,FII HEDGE OF,HDOF
HEDGE REALTY DEVELOPMENT FDO INV IMOB,FII HREALTY,HRDF
HEDGE RECEBIVEIS IMOB. FUNDO DE INVST. IMOB.,FII HEDGEREC,HREC
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIARIO,FII HEDGE SD,SEED
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.,FII HEDGEPDP,HPDP
HEDGE TOP FOFII 3 FDO INV IMOB,FII HTOPFOF3,HFOF
HEDGE YEES HABITAÇÕES ECON FDO DE INV IMOB RESP L,FII YEES,YEES
HGI CREDITOS IMOBILIARIOS FDO. INV. IMOB.,FII HGI CRI,HGIC
HIRE LOG I FDO DE INV IMOB,FII HIRE LOG,HILG
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI,FII HSI CRI,HSAF
HSI LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,FII HSI LOG,HSLG
HSI MALL FDO INV IMOB,FII HSI MALL,HSML
HSI RENDA IMOB FDO INV IMOB,FII HSIRENDA,HSRE
HUSI FDO INV. IMOB.,FII HUSI,HUSI
ICONE - FUNDO DE INVEST IMOB RES LIMITADA,FII ICNE,ICNE
INTER DESENVOLVIMENTO FDO DE INV IMOB,FII INDE,INDE
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO,FII INTER IP,ITIP
INTER TEVA INDICE DE TIJOLO FUNDO DE INVESTIMENTO,FII INTER IT,ITIT
INTER TITULOS IMOB. FDO INV. IMOB.,FII INTER,BICR
INVISTA BRAZILIAN BUSINESS PARK FDO DE INV IMOB,FII IBBP,IBBP
INVISTA SCJ - FII,FII ISCJ,ISCJ
IRIDIUM FUNDO DE INVESTIMENTO IMOBILIARIO,FII IRIM,IRIM
ITAU CREDITO IMOB IPCA FDO DE INV IMOB,FII CI IPCA,ICRI
